food,hotel,shopping,service,beauty,travel,entertainment,sports,education,media,medicine,car,traffic,finace,estate,company,government
11,17,8,17,1,0,0,0,9,0,1,39,6,6,48,7,23
23,15,4,11,8,11,0,0,12,4,3,0,50,18,12,6,14
12,5,21,21,10,9,3,0,12,6,17,0,10,18,21,5,21
19,4,10,19,10,5,3,3,29,8,6,13,36,5,9,3,10
6,29,13,8,17,11,1,0,6,0,10,0,79,5,2,1,4
6,4,10,34,26,3,0,0,16,0,21,0,2,2,20,19,31
7,14,16,13,9,0,2,0,23,0,22,0,29,14,27,0,14
1,20,10,8,3,10,1,0,31,0,25,2,15,25,24,1,18
22,10,9,7,2,22,6,4,7,8,10,0,19,34,8,6,19
0,1,15,17,12,21,1,0,19,3,1,12,65,2,8,0,15
17,4,24,34,10,2,4,0,18,0,8,14,8,7,6,8,26
6,22,10,3,1,4,1,0,5,1,8,1,28,13,50,6,34
3,3,9,15,4,2,3,0,88,0,7,0,9,15,16,0,19
21,0,2,40,3,13,0,0,2,0,3,0,1,2,4,21,3
6,2,17,12,5,8,1,0,23,7,7,30,7,12,19,4,32
0,0,3,29,1,12,2,0,17,1,17,5,12,9,28,4,52
3,5,2,17,2,10,6,0,26,5,5,20,25,3,40,0,23
18,4,29,10,14,5,1,0,15,0,30,2,17,6,14,2,23
9,7,29,10,10,1,2,0,5,0,34,1,55,7,1,2,3
20,4,2,9,7,5,6,2,30,0,16,0,12,20,38,10,11
8,3,9,4,6,1,1,1,5,3,10,4,13,11,13,5,30
0,0,0,0,0,0,0,0,0,0,0,88,0,0,87,0,0
9,4,19,23,20,1,3,2,12,3,12,2,35,13,14,0,19
10,4,20,64,4,2,3,1,31,0,5,1,12,19,6,2,8
7,6,14,14,15,0,4,4,39,3,21,1,26,5,8,2,23
7,13,12,19,6,0,2,2,19,1,7,0,11,5,24,3,31
12,2,3,12,3,1,1,0,39,8,52,19,28,2,2,0,8
22,28,31,10,0,17,40,10,5,0,17,0,0,10,4,0,0
21,10,16,16,6,9,8,1,14,3,8,3,17,7,38,7,8
2,1,20,39,2,0,0,0,21,0,21,0,0,1,72,2,14
2,1,3,30,15,6,0,0,32,0,18,15,2,19,22,1,25
14,2,10,9,6,7,4,2,15,0,18,7,16,9,33,4,36
23,4,24,16,9,3,10,0,7,2,7,2,25,13,16,2,4
0,0,11,58,8,0,6,0,47,0,6,59,1,0,0,0,0
7,0,8,28,8,0,4,3,72,0,12,0,6,19,12,4,12
12,6,15,23,6,12,5,0,8,5,7,10,40,11,3,7,23
10,2,23,29,15,0,2,0,6,4,23,15,30,1,12,2,18
20,1,21,16,11,0,1,0,35,0,23,0,2,9,45,6,2
8,2,35,52,15,0,11,0,1,0,13,16,19,12,4,2,3
8,2,16,17,2,0,0,0,9,0,14,32,28,4,50,0,9
7,5,28,35,9,2,4,1,25,1,8,5,13,4,13,6,26
7,23,13,6,3,2,1,0,13,1,6,2,28,3,39,8,38
30,2,21,12,5,0,2,0,0,0,8,26,57,21,0,0,11
2,8,16,36,12,3,0,0,20,0,7,1,20,4,15,5,42
5,37,35,6,5,0,3,0,0,0,0,0,29,3,65,1,2
0,16,0,0,6,11,6,0,13,0,1,40,62,0,21,0,19
1,1,21,28,6,0,0,0,10,0,1,54,0,0,23,4,46
19,3,25,20,9,1,5,1,12,1,21,12,15,10,10,4,23
6,1,5,4,6,5,0,0,7,0,11,45,27,5,35,0,3
1,17,11,12,7,0,8,1,28,4,16,3,8,17,26,6,25
0,1,34,15,15,12,0,14,12,0,25,0,0,6,38,9,11
10,6,29,30,9,1,0,0,16,0,11,17,20,6,4,6,26
0,11,5,13,0,17,0,8,5,4,4,0,33,16,9,5,40
5,1,6,15,6,0,0,0,6,0,4,0,7,4,3,6,60
15,0,28,23,0,0,0,0,30,1,16,25,22,2,0,11,20
4,6,6,21,3,1,1,0,6,7,7,4,19,4,10,2,24
3,8,1,7,2,0,0,1,15,0,30,83,12,13,7,0,10
0,0,5,16,25,12,0,0,18,0,37,0,0,9,57,0,1
18,4,5,23,0,11,7,2,26,0,14,3,13,15,23,8,21
5,0,2,4,0,0,0,0,92,5,6,0,0,0,56,0,27
10,0,23,9,4,0,0,0,41,0,14,21,1,2,43,8,14
16,10,24,21,13,3,4,1,7,3,9,2,29,20,14,4,13
24,0,0,0,0,0,0,0,4,0,37,0,0,0,134,0,0
1,0,5,10,2,4,2,1,12,0,54,0,12,9,13,0,69
5,6,26,35,33,2,0,0,27,0,26,0,7,2,9,13,3
0,0,21,20,1,0,3,0,0,0,12,7,16,0,28,10,76
15,7,12,14,4,8,2,2,16,1,23,12,11,10,17,4,34
16,7,30,24,33,6,4,0,3,3,8,3,11,9,15,3,15
2,4,59,8,1,0,1,0,6,0,34,0,3,2,9,43,20
12,10,22,5,4,0,2,0,18,0,14,0,7,19,10,12,57
5,4,13,7,2,10,6,0,32,0,18,20,19,1,41,0,12
7,5,9,5,3,1,4,0,6,0,1,31,5,4,101,2,8
7,1,5,10,0,15,0,0,6,0,4,8,110,25,0,0,3
6,12,25,16,5,6,3,0,7,0,27,1,20,5,44,7,6
22,7,25,13,6,2,7,0,4,1,13,27,46,8,3,1,7
8,9,12,22,13,1,2,1,11,0,16,0,13,19,49,1,14
7,3,12,0,4,0,0,0,9,0,1,7,0,0,123,3,13
